"url","user","data","ulasan","tanggapan","histori"
"https://play-lh.googleusercontent.com/a-/ALV-UjXbLAGe60PPsYzgjrHWaEvo3UnnG8rS_9gWJFQLnGpuM4BothM=s32-rw","M.FAATHIR JANNUAR","25 Desember 2025","Kasih tim yg bener lah, masa 10 game ga pernah dapat tim yg bagus, trus kalau ada yg mainnya kayak bot habisin aja kredit score nya biar ga bisa main rank, patch baru yg pilih lane juga kayak ga efektif, masa harus main party terus sih. Terus bagian draft pick nya juga dari season kemarin belum dibagusin, tetep aja lelet kayak frame nya tinggi banget. Tolong untuk pihak moonton diperbaiki lagi gamenya🙏🙏🙏","4.004 orang merasa ulasan ini berguna",""
"https://play-lh.googleusercontent.com/a/ACg8ocL2DVHiofrEAlb6bTsnv1_RioSxeY9EeBPvaOaZt3o9d22bVg=s32-rw-mo","dirgartg 55","25 Desember 2025","game nya bagus banyak skin gratis udah oke si tapi ada kekurangan:1:masa jaringan hp bagus tapi di game ngelag parah sampai merah lagi ujung ujung nya tinggal level,gold 2:bug nya banyak banget terkadang pas main keluar tiba tiba,suaranya tiba tiba kaya suara on mic dll 3:apalah darksystem hapus aja masa mau mythic tiba tiba turun samapai epic/legend5 kan gak enak tapi makasih uda ngasih banyak skin gratis semoga di baca dan di perbaiki ☺️","208 orang merasa ulasan ini berguna",""
"https://play-lh.googleusercontent.com/a-/ALV-UjUDx_D5vbTDKGp6_UVfJ-1RImh7cT_xYyUGb0jjUHWFfzguCeFI=s32-rw","Monkey d Luffy","25 Desember 2025","tim tidak seimbang, di cek profil semua di bawah jumlah pertandingan yang sama dengan lawan, atau bahkan lawannya malah yang makai akun kecil. bikin lah deteksi koneksi akun di perangkat, biar liat jumlah pertandingan terbanyaknya berapa, kalo dia make akun kecil samain lah tuh sama jumlah pertandingan terbanyak di akun yg ada di perangkatnya.","550 orang merasa ulasan ini berguna",""
"https://play-lh.googleusercontent.com/a/ACg8ocIl1a_UI2p5uEMPXJpmEOn0qMK8vkZdo-CiQFoeD4-i-atYRQ=s32-rw-mo","Muhammad Al Fatih","25 Desember 2025","game paling edan, walaupun banyak even, tp pelit soal jaringan, baru isi kuota 15Gb 1 jam yg lalu bisa bisanya nge lag parah, padahl tidak sedang di hutan atau di tempat yg susah jaringan buat masuk, masih nge lag, percuma game ini banyak event colab bagus tp jaringan masih nge lag. sementara saya kasih bintang 3 dulu.","179 orang merasa ulasan ini berguna",""
"https://play-lh.googleusercontent.com/a/ACg8ocIS4MjFqVIx18FyuWA7BpRIC_1zlqUJcV_loQdk2dqoKWglsQ=s32-rw-mo","Cory NurCahyani","22 Desember 2025","aku suka banget main ml, tapi tolong dong, jaringan nya tiba-tiba suka buruk, padahal wifi lancar data juga lancar, tapi kenapa pas sudah di pertandingan suka lag, dan ga kunjung membaik, lag sampai akhir pertandingan, itu bikin kesel, yang aturan bisa buat menang jadi kalah gara-gara suka lag tiba-tiba, tolong di perbaiki lagi jaringan nya, and kasih team yang seimbang, aku suka nabrak abng abng an, padahal masih legend","721 orang merasa ulasan ini berguna","Tampilkan histori ulasan"
"https://play-lh.googleusercontent.com/a-/ALV-UjUwaPHPQ349hjes4RRwGXcGycXg-HlcUFXs6MFnyt-W9NCRIpY=s32-rw","Serena Calista","26 Desember 2025","game nya sangat bagus, TPI kadang kadang sering lag padahal sinyal bagus dan hp juga mendukung banget. tapi kalau Tetang grafik, skin, Hero dll bagus banget. oh yah, monnton.tolong dong🙏di saya kok sekarang ada iklannya? biasanya gak ada.saya jadi terganggu saat pertandingan tiba tiba iklan.mohon diperbaikin lagi!","83 orang merasa ulasan ini berguna","Tampilkan histori ulasan"
"https://play-lh.googleusercontent.com/a/ACg8ocJ2MWpuGo-IsdKG9ovEyoEMv0uMPK28rkv69x3nNgHsQjMUOQ=s32-rw-mo","Ayen Medan","26 Desember 2025","monton gimana sih ngasih saya selalu mengalami stuck di loading ketika ingin memasuki pertandingan, padahal jaringan bagus ruang penyimpanan pun masih banyak, tetapi ketika ingin main saya selalu mengalami kejadian tersebut. Setelah pembagian tim pun selalu tidak adil. saya selalu mendapatkan tim yang rank nya lebih rendah dari saya, tim musuh rank nya pada tinggi semua. saya mohon kepada developer untuk segera memperbaiki masalah ini agar game nya bisa lebih enak buat dimainkan","344 orang merasa ulasan ini berguna","Tampilkan histori ulasan"
"https://play-lh.googleusercontent.com/a-/ALV-UjWzzig8OPJLswL3E_29gji7KTfjA76rJ144_enhMTQoNkdH7Q8=s32-rw","Qori Cebleng","25 Desember 2025","tolong di perbaiki lagi jaringan nya selalu saat masuk mode pertempuran selalu ngelag,, di dlm lobby aja bisa ngelag,, padahal download sudah selesai dan jaringan wi-fi sama jaringan data ping selalu bagus,, selebih nya sudah bagus sih","152 orang merasa ulasan ini berguna",""
"https://play-lh.googleusercontent.com/a/ACg8ocL661COJpYWXC_f1FlUU5peEiKLpc40glmoJdANAYg0MCZQvw=s32-rw-mo","Faris Rujak","24 Desember 2025","game ini perlu perbaikan banyak bug, jaringan dan sistem kedua tim.saya sering mengalami leg jaringan padahal jaringan lancar dan sistem untuk mengacak kedua tim selalu aneh saya sering mendapatkan tim yang tidak bisa bermain/baru belajar di update an sekarang sedangkan tim lawan jauh bisa main ketimbang tim yang sering saya dapatkan ketika bermain solo.nih game atur dulu sistem nya baru urusin tuh colab kecewa sih update an nya malah makin ga seru","289 orang merasa ulasan ini berguna",""
"https://play-lh.googleusercontent.com/a/ACg8ocK511CLHRimYiE93pub946NW6RRyfLaSozzwm1z72rXmN69tw=s32-rw-mo","Amie 1909","21 Desember 2025","apa apaan ini setelah update sinyal semakin jelek banget.. lagi asik main tinggal end tiba-tiba nge lag ilang sinyal, relog berkali kali, masuk game langsung di lobby, aneh nya hasil dari pertandingan yang barusan itu hilang, tidak terdata, dan parahnya, ini akun hanya di lobby ga bisa rank ga bisa classic ga bisa brawl.. apa maksud nya moonton woii","751 orang merasa ulasan ini berguna","Tampilkan histori ulasan"
