text,sentiment
segi gameplay game turut belum layak rilis public banyak bug hero perlu balancing juga matchmaking sistem milik mobile legend yakin game hanya peduli profit pernah dengar keluh player seperti lebih penting collab cara dapat profit tinggi contoh case bayang bagaimana adil main rank tinggi rank dan rekan tidak andal sungguh kecewa,Negatif
apa nih monton semenjak update season network selalu ngelag padahal network wifi udah atas normal dan rekan party masuk semua guna mobile legends sangat ganggu buk tolong baik n,Negatif
gamenya bagus game sinyal kuat aku sering alami bug tak duga aku kesal banyak bug,Negatif
game aneh sinyal lag mulu pas login kalau main padahal sinyal ku bagus pakai scrol tik tok nonton yt lancar aja tuh gilir buka mlbb malah lag banget,Negatif
baik sistem matchmaking nya sering sekali dapat tim yg lebih buruk bahkan hari dapat lawan yg mekanik jago sekali tim saya poke parah baik lah kata game tarung yg adil gimana sih,Positif
game nya sih sinyal lancar loh kenapa hubung ulang terus baik min asli emosi parah gw loading match stack terkadang relog sendiri nilai afk gw join game terus main nilai afk percuma dong,Positif
main mlbb buang buang waktu hasil gak masalah makin tambah ada hanya bikin emosi stress marah gak jelas ujung ujung meski sudah usaha malah zonk karen kasih darksistem mooton udah maksimal mungkin tahan main serius main apa daya tim bego orang tim musuh jago orang udah gitu kompak lah tim gw war aja kayak ngantri bansos satu satu kata game adil tegang,Negatif
server bot clasik lu fix monton server sangat guna sibuk kerja di server kita perlu pikir game play tidak jadi beban team sibuk kami,Netral
game nya bagus cmn knp sy dpt dark sistem mulu akhir sering ls bahkan sampe kali lebih menang cuma kali gmna mau imo kalo kek gni tim musuh bgs tim sy agk jadiny jrang main skrng,Positif
seasons baru baru lagend epick yg baru kemarin sore maen game pas main rank di temu lawan level tinggi yg udah ngerasain imortal kan mati an naikin level emblem yang rata baru lvl game gak otak tiap hari maen ketemu lawan lvl tinggi,Negatif
game banyak bag nya padahal jaring ku baik baik diingame nya gak gerak saran kan di baik rekomendasi karna banyak bag nya pas waktu mulai banyak player gak mau masuk nunggu detik baru masuk kalo begini cara sangat bosan sebenernya gameplay nya seru seru aja tapi ya banyak bag nya kasih tim ko gak imbang banget sih niat buat game apa gak sih,Positif
apa update jadi kaya gin suka lag jaring merah padahal wifi nya lancar aja mana atas tolong dong moonton kalo abis update tuh kaya jaring lancar macam nya inimah udah update jadi rusak kaya begini,Negatif
game banyak player joki system bisa deteksi cheat baik jaring sering lag tiba matcmaking kadang buat terlalu mudah kadang terlalu sulit memang player partu silah temu jumlah anggota party yg sama bukan malah trio ketemu party orang inti system match making gk imbang,Netral
sekarang malah parah x maen ngleg terus patah ngepriz war parah masuk dah tinggal level aneh semangat jadi males player ga bakal win lama baik coba dulu event game nya ngeleg ga ahh lebih baik take down aja nih game nyebelin,Positif
alam bermaen yg buruk main tim yg selalu beban server jaring yg selalu error entah game kalau main game selalu ngelag game tidak adalah alam bermaen game yg buruk hidup,Negatif
game aneh tiba tiba ga main padahal jaring sama kuota aman waktu draf pick lancar ketika in game nya tiba tiba lag parah udh relog beberapa kali tetep sama malah balik ke lobi ga main,Negatif
ya waktu aku coba advance server terus mau balik akun lama engga login padahal udh semua cara aku coba loh aku ikhlasin hapus semua data ada ml padahal akun lama udh lumayan jujur sedih huhu,Netral
kadang ngelag gk gerak nie padahal sinyal bagus gk kendala makin jelek aj sinyal bagus suka leg terus bukan makin bagus makin ngacok lol gk profesional baik,Positif
game bagus hampir sempurna ada tapi main level tinggi kita rendah sebal gantung sifat main tadi barusan pamer mentang udah level sini rata level makanya aku kata kasar game tetapi tidak di kena hukum malah saya padahal dia duluan yang mulai dari tolong tingkat system awas chat nya biar tak singgung,Netral
game makin kesini makin berat nge lag mulu padahal wifi rumah pake buat apa aja lancar jaya pas main mobile legends kacau nyata emang banyak ngeluh nge lag benerin dong sistem nya,Negatif
sering bug selesai tanding selalu layar jadi warna biru belum main tiba layar jadi gelap hitam apa yang salah baik menganggu sedang main kalau tidak ada ubah uninstall aplikasi,Netral
sangat bagus game nya sayang game terlalu berat guna hp ram gb apa ram bawah gb sangat lag sekali ber main,Negatif
kesel mobile legends tiap x login keluar sendiri lebih parah nya kadang udah ngepus tau ngeblank keluar sendiri mana pas mau login lama banget akhir kena langgar trus padahal gak niat ninggalin tanding malah sistem nya log out sendiri capek sama game aneh,Negatif
